rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.8522,0.7045,1.0,1.0,6,6,False,True
2,frame_0000.jpg,0.0,0.832,0.864,0.6667,1.0,5,4,False,True
3,frame_0071.jpg,28.4,0.7594,0.7188,0.6667,1.0,4,4,False,False
4,frame_0024.jpg,9.6,0.7108,0.9216,0.1667,1.0,1,1,False,True
5,frame_0375.jpg,150.0,0.7047,0.7294,1.0,0.2,9,6,False,True
6,frame_0124.jpg,49.6,0.7023,0.6326,0.8333,0.68,6,5,False,True
7,frame_0073.jpg,29.2,0.7005,0.701,0.5,1.0,6,3,False,False
8,frame_0070.jpg,28.0,0.6926,0.6853,0.5,1.0,4,3,False,False
9,frame_0008.jpg,3.2,0.691,0.682,0.5,1.0,3,3,False,True
10,frame_0276.jpg,110.4,0.6841,0.7722,0.8333,0.24,8,5,False,True
11,frame_0289.jpg,115.6,0.6787,0.8535,0.3333,0.76,3,2,False,True
12,frame_0077.jpg,30.8,0.6767,0.7014,0.5,0.88,7,3,False,False
13,frame_0291.jpg,116.4,0.6729,0.6097,0.6667,0.84,6,4,False,False
14,frame_0033.jpg,13.2,0.6714,0.5427,0.6667,1.0,6,4,False,True
15,frame_0168.jpg,67.2,0.6695,0.7149,0.6667,0.56,5,4,False,True
16,frame_0003.jpg,1.2,0.6623,0.5246,0.6667,1.0,6,4,False,False
17,frame_0122.jpg,48.8,0.6558,0.9715,0.1667,0.6,3,1,False,False
18,frame_0294.jpg,117.6,0.6551,0.6222,0.6667,0.72,5,4,False,True
19,frame_0130.jpg,52.0,0.654,0.7401,0.3333,0.92,3,2,False,True
20,frame_0277.jpg,110.8,0.6537,0.6954,0.8333,0.28,8,5,False,False
21,frame_0206.jpg,82.4,0.652,0.0,0.0,0.76,0,0,True,False
22,frame_0280.jpg,112.0,0.6454,0.7307,0.6667,0.4,5,4,False,False
23,frame_0001.jpg,0.4,0.6443,0.5887,0.5,1.0,6,3,False,False
24,frame_0284.jpg,113.6,0.6442,0.7644,0.5,0.56,5,3,False,False
25,frame_0292.jpg,116.8,0.6351,0.6502,0.5,0.8,7,3,False,False
26,frame_0330.jpg,132.0,0.6329,0.7498,0.8333,0.04,7,5,False,False
27,frame_0368.jpg,147.2,0.6323,0.7486,0.8333,0.04,9,5,False,False
28,frame_0015.jpg,6.0,0.6313,0.5626,0.5,1.0,4,3,False,False
29,frame_0384.jpg,153.6,0.6277,0.6915,0.8333,0.16,7,5,False,False
30,frame_0370.jpg,148.0,0.6275,0.6389,1.0,0.04,9,6,False,False
31,frame_0167.jpg,66.8,0.618,0.596,0.6667,0.6,4,4,False,False
32,frame_0005.jpg,2.0,0.6121,0.5243,0.5,1.0,4,3,False,False
33,frame_0079.jpg,31.6,0.6106,0.5011,0.6667,0.8,6,4,False,False
